Time	siga	epsa	epsc	epsv	sigc	siga*	SqJ2	I1
216.67383	0.18693	-0.009020566	0.14595456	0.28288859	2.0557103	2.2426403	0.107924086	6.3540609
217.67383	0.18114427	-0.009073146	0.14666599	0.28425881	2.0608761	2.24202037	0.104583693	6.36377257
218.67383	0.18336946	-0.008997434	0.14742084	0.28584424	2.07019	2.25355946	0.105868407	6.39393946
219.67383	0.18723363	-0.009094808	0.1481445	0.28719419	2.0715525	2.25878613	0.108099387	6.40189113
220.67383	0.18550943	-0.008978906	0.14892362	0.28886834	2.077826	2.26333543	0.107103919	6.41898743
221.67383	0.17092383	-0.00929849	0.14962022	0.28994197	2.0801308	2.25105463	0.098682919	6.41131623
222.67383	0.17714126	-0.009174521	0.15036443	0.29155433	2.0878541	2.26499536	0.102272554	6.44070356
223.67383	0.18263154	-0.009075625	0.15107326	0.29307088	2.0901725	2.27280404	0.105442369	6.45314904
224.67383	0.16622506	-0.009209849	0.15181163	0.29441342	2.0940731	2.26029816	0.095970083	6.44844436
225.67383	0.17340466	-0.009128001	0.15255822	0.29598844	2.1028399	2.27624456	0.100115227	6.48192436
226.67383	0.18305108	-0.00921241	0.15330791	0.29740342	2.1031053	2.28615638	0.10568459	6.49236698
227.67383	0.1761889	-0.009198411	0.15402113	0.29884383	2.1122267	2.2884156	0.101722709	6.512869
228.67383	0.17011264	-0.009262819	0.1546859	0.300109	2.1165795	2.28669214	0.098214578	6.51985114
229.67383	0.16225599	-0.009210648	0.15552096	0.30183128	2.1217594	2.28401539	0.09367854	6.52753419
230.67383	0.18089142	-0.009341563	0.15621895	0.30309632	2.1251388	2.30603022	0.10443771	6.55630782
231.67383	0.17132835	-0.009218823	0.15691048	0.30460215	2.1301951	2.30152345	0.098916469	6.56191365
232.67383	0.17739525	-0.009242222	0.1577016	0.30616099	2.1336315	2.31102675	0.102419195	6.57828975
233.67383	0.16954891	-0.009456338	0.15838969	0.30732301	2.1402156	2.30976451	0.097889109	6.59019571
234.67383	0.17171511	-0.009405028	0.15916973	0.30893445	2.1491034	2.32081851	0.099139765	6.61902531
235.67383	0.17081894	-0.009305482	0.15987106	0.31043664	2.1509855	2.32180444	0.098622361	6.62377544
236.67383	0.16787529	-0.009397795	0.16058862	0.31177947	2.1551416	2.32301689	0.096922844	6.63330009
237.67383	0.17251575	-0.009436069	0.16139987	0.31336367	2.1612163	2.33373205	0.099602015	6.65616465
238.67383	0.17560552	-0.009478779	0.16208017	0.31468156	2.1662481	2.34185362	0.101385894	6.67434982
239.67383	0.16709618	-0.009557565	0.16283982	0.31612208	2.1697361	2.33683228	0.096473025	6.67630448
240.67383	0.16082864	-0.009499063	0.16357672	0.31765437	2.1746762	2.33550484	0.092854459	6.68485724
241.67383	0.16148157	-0.00949099	0.16431411	0.31913722	2.1797009	2.34118247	0.093231428	6.70058427
242.67383	0.16958731	-0.009371257	0.16497114	0.32057104	2.18699	2.35657731	0.097911279	6.73055731
243.67383	0.16748291	-0.009620128	0.16570847	0.3217968	2.193922	2.36140491	0.096696303	6.74924891
244.67383	0.15804534	-0.009473329	0.16647404	0.32347476	2.1958406	2.35388594	0.09124752	6.74556714
245.67383	0.15613197	-0.009643875	0.16711545	0.32458705	2.2012339	2.35736587	0.090142835	6.75983367
246.67383	0.15880969	-0.009587914	0.16788766	0.3261874	2.206244	2.36505369	0.091688817	6.77754169
247.67383	0.1609787	-0.009716376	0.16854057	0.32736477	2.2117565	2.3727352	0.092941096	6.7962482
248.67383	0.15654892	-0.009711602	0.16924866	0.32878572	2.216877	2.37342592	0.090383561	6.80717992
249.67383	0.15744789	-0.009581234	0.16999333	0.33040541	2.2196317	2.37707959	0.090902582	6.81634299
250.67383	0.15146528	-0.009787375	0.17072074	0.3316541	2.2254634	2.37692868	0.08744852	6.82785548
251.67383	0.1521004	-0.009745142	0.17142715	0.33310914	2.2326372	2.3847376	0.087815207	6.850012
252.67383	0.15453723	-0.009714716	0.17206264	0.33441055	2.2351162	2.38965343	0.089222111	6.85988583
253.67383	0.15109256	-0.009810144	0.17285191	0.33589369	2.2405853	2.39167786	0.08723333	6.87284846
254.67383	0.15528731	-0.010101919	0.17349078	0.33687964	2.2466364	2.40192371	0.08965517	6.89519651
255.67383	0.16409445	-0.010049728	0.17420514	0.33836055	2.2504847	2.41457915	0.094739975	6.91554855
